agency_name,route_name,year
OMNITRANS,sbX,2014
Omnitrans_Jan20,sbX,2020
OMNITRANS,sbX Green Line,2025
Culver CityBus,6R,2014
Culver CityBus,CC 6R,2020
Culver CityBus,Rapid 6,2025
Metro - Los Angeles,Metro Orange Line  (901),2014
Metro - Los Angeles,Metro Silver Line  (910),2014
Metro - Los Angeles,901,2020
Metro - Los Angeles,910/950,2020
Metro - Los Angeles,Metro G Line (Orange) 901,2025
Metro - Los Angeles,Metro J Line (Silver) 910/950,2025
MTS,215,2014
MTS,235,2014
MTS,237,2014
MTS,280,2014
MTS,290,2014
MTS,201,2020
MTS,202,2020
MTS,204,2020
MTS,215,2020
MTS,225,2020
MTS,235,2020
MTS,237,2020
MTS,280,2020
MTS,290,2020
MTS,201,2025
MTS,202,2025
MTS,204,2025
MTS,215,2025
MTS,225,2025
MTS,227,2025
MTS,235,2025
MTS,237,2025
MTS,280,2025
MTS,290,2025
San Joaquin Regional Transit District (RTD),40,2014
San Joaquin Regional Transit District (RTD),44,2014
San Joaquin Regional Transit District (RTD),40,2020
San Joaquin Regional Transit District (RTD),43,2020
San Joaquin Regional Transit District (RTD),44,2020
San Joaquin Regional Transit District (RTD),47,2020
San Joaquin Regional Transit District (RTD),49,2020
San Joaquin Regional Transit District (RTD),40L,2025
San Joaquin Regional Transit District (RTD),43,2025
San Joaquin Regional Transit District (RTD),44,2025
San Joaquin Regional Transit District (RTD),47,2025
San Joaquin Regional Transit District (RTD),49,2025
Fresno Public Transportation (FAX),01,2020
Fresno Area Express,01,2025
San Francisco Municipal Transportation Agency,38,2025
San Francisco Municipal Transportation Agency,38R,2025
AC TRANSIT,1T,2025
